areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-12-07,11995,10610958
overview,United Kingdom,K02000001,2021-12-06,45588,10598963
overview,United Kingdom,K02000001,2021-12-05,38556,10553375
overview,United Kingdom,K02000001,2021-12-04,36741,10514819
overview,United Kingdom,K02000001,2021-12-03,44202,10478078
overview,United Kingdom,K02000001,2021-12-02,49021,10433876
overview,United Kingdom,K02000001,2021-12-01,53431,10384855
overview,United Kingdom,K02000001,2021-11-30,54451,10331424
overview,United Kingdom,K02000001,2021-11-29,54889,10276973
overview,United Kingdom,K02000001,2021-11-28,38864,10222084
overview,United Kingdom,K02000001,2021-11-27,32609,10183220
overview,United Kingdom,K02000001,2021-11-26,38527,10150611
overview,United Kingdom,K02000001,2021-11-25,42485,10112084
overview,United Kingdom,K02000001,2021-11-24,45792,10069599
overview,United Kingdom,K02000001,2021-11-23,47273,10023807
overview,United Kingdom,K02000001,2021-11-22,49771,9976534
overview,United Kingdom,K02000001,2021-11-21,36503,9926763
overview,United Kingdom,K02000001,2021-11-20,34662,9890260
overview,United Kingdom,K02000001,2021-11-19,38916,9855598
overview,United Kingdom,K02000001,2021-11-18,43221,9816682
overview,United Kingdom,K02000001,2021-11-17,45032,9773461
overview,United Kingdom,K02000001,2021-11-16,45438,9728429
overview,United Kingdom,K02000001,2021-11-15,49990,9682991
overview,United Kingdom,K02000001,2021-11-14,34797,9633001
overview,United Kingdom,K02000001,2021-11-13,32323,9598204
overview,United Kingdom,K02000001,2021-11-12,36994,9565881
overview,United Kingdom,K02000001,2021-11-11,40228,9528887
overview,United Kingdom,K02000001,2021-11-10,42087,9488659
overview,United Kingdom,K02000001,2021-11-09,41442,9446572
overview,United Kingdom,K02000001,2021-11-08,43288,9405130
overview,United Kingdom,K02000001,2021-11-07,29981,9361842
overview,United Kingdom,K02000001,2021-11-06,26932,9331861
overview,United Kingdom,K02000001,2021-11-05,29729,9304929
overview,United Kingdom,K02000001,2021-11-04,32347,9275200
overview,United Kingdom,K02000001,2021-11-03,35027,9242853
overview,United Kingdom,K02000001,2021-11-02,37126,9207826
overview,United Kingdom,K02000001,2021-11-01,44195,9170700
overview,United Kingdom,K02000001,2021-10-31,34129,9126505
overview,United Kingdom,K02000001,2021-10-30,33017,9092376
overview,United Kingdom,K02000001,2021-10-29,39537,9059359
overview,United Kingdom,K02000001,2021-10-28,40658,9019822
overview,United Kingdom,K02000001,2021-10-27,42275,8979164
overview,United Kingdom,K02000001,2021-10-26,41415,8936889
overview,United Kingdom,K02000001,2021-10-25,46641,8895474
overview,United Kingdom,K02000001,2021-10-24,35146,8848833
overview,United Kingdom,K02000001,2021-10-23,34543,8813687
overview,United Kingdom,K02000001,2021-10-22,39980,8779144
overview,United Kingdom,K02000001,2021-10-21,44435,8739164
overview,United Kingdom,K02000001,2021-10-20,50828,8694729
overview,United Kingdom,K02000001,2021-10-19,51586,8643901
overview,United Kingdom,K02000001,2021-10-18,56712,8592315
overview,United Kingdom,K02000001,2021-10-17,42982,8535603
overview,United Kingdom,K02000001,2021-10-16,37283,8492621
overview,United Kingdom,K02000001,2021-10-15,42872,8455338
overview,United Kingdom,K02000001,2021-10-14,45634,8412466
overview,United Kingdom,K02000001,2021-10-13,46985,8366832
overview,United Kingdom,K02000001,2021-10-12,47506,8319847
overview,United Kingdom,K02000001,2021-10-11,49461,8272341
overview,United Kingdom,K02000001,2021-10-10,35830,8222880
overview,United Kingdom,K02000001,2021-10-09,31723,8187050
overview,United Kingdom,K02000001,2021-10-08,35009,8155327
overview,United Kingdom,K02000001,2021-10-07,37881,8120318
overview,United Kingdom,K02000001,2021-10-06,38620,8082437
overview,United Kingdom,K02000001,2021-10-05,38621,8043817
overview,United Kingdom,K02000001,2021-10-04,43075,8005196
overview,United Kingdom,K02000001,2021-10-03,31510,7962121
overview,United Kingdom,K02000001,2021-10-02,25904,7930611
overview,United Kingdom,K02000001,2021-10-01,28643,7904707
overview,United Kingdom,K02000001,2021-09-30,32015,7876064
overview,United Kingdom,K02000001,2021-09-29,34301,7844049
overview,United Kingdom,K02000001,2021-09-28,35934,7809748
overview,United Kingdom,K02000001,2021-09-27,40922,7773814
overview,United Kingdom,K02000001,2021-09-26,31526,7732892
overview,United Kingdom,K02000001,2021-09-25,27861,7701366
overview,United Kingdom,K02000001,2021-09-24,31605,7673505
overview,United Kingdom,K02000001,2021-09-23,35217,7641900
overview,United Kingdom,K02000001,2021-09-22,36156,7606683
overview,United Kingdom,K02000001,2021-09-21,38263,7570527
overview,United Kingdom,K02000001,2021-09-20,40113,7532264
overview,United Kingdom,K02000001,2021-09-19,30543,7492151
overview,United Kingdom,K02000001,2021-09-18,26302,7461608
overview,United Kingdom,K02000001,2021-09-17,29062,7435306
overview,United Kingdom,K02000001,2021-09-16,29175,7406244
overview,United Kingdom,K02000001,2021-09-15,29945,7377069
overview,United Kingdom,K02000001,2021-09-14,30936,7347124
overview,United Kingdom,K02000001,2021-09-13,34119,7316188
overview,United Kingdom,K02000001,2021-09-12,23666,7282069
overview,United Kingdom,K02000001,2021-09-11,23211,7258403
overview,United Kingdom,K02000001,2021-09-10,28730,7235192
overview,United Kingdom,K02000001,2021-09-09,33407,7206462
overview,United Kingdom,K02000001,2021-09-08,35239,7173055
overview,United Kingdom,K02000001,2021-09-07,38016,7137816
overview,United Kingdom,K02000001,2021-09-06,44146,7099800
overview,United Kingdom,K02000001,2021-09-05,31264,7055654
overview,United Kingdom,K02000001,2021-09-04,31360,7024390
overview,United Kingdom,K02000001,2021-09-03,38020,6993030
overview,United Kingdom,K02000001,2021-09-02,41625,6955010
overview,United Kingdom,K02000001,2021-09-01,42833,6913385
overview,United Kingdom,K02000001,2021-08-31,44471,6870552
